timestamp,open,high,low,close,volume,close_time,quote_volume,trades
1760204700000,112174.39000000,112174.39000000,111588.34000000,111604.64000000,0.04229000,1760205599999,4727.78097230,13
1760205600000,112092.67000000,112092.67000000,111627.70000000,111627.70000000,0.00661000,1760206499999,740.62411150,10
1760206500000,111627.85000000,111630.48000000,111627.85000000,111630.48000000,0.02918000,1760207399999,3257.33418920,15
1760207400000,112061.88000000,112061.92000000,111627.88000000,112061.38000000,0.12468000,1760208299999,13971.84985930,25
1760208300000,112060.41000000,112060.41000000,111629.34000000,112059.25000000,0.06738000,1760209199999,7546.23969480,11
1760209200000,112059.15000000,112059.15000000,111414.80000000,111414.80000000,0.16729000,1760210099999,18691.55435690,37
1760210100000,111340.01000000,111562.99000000,111021.00000000,111562.99000000,0.30753000,1760210999999,34247.94368800,63
1760211000000,111562.84000000,111562.92000000,111021.28000000,111559.57000000,0.00261000,1760211899999,290.37959910,9
1760211900000,111021.29000000,111441.33000000,110916.74000000,111307.39000000,0.19936000,1760212799999,22136.47575210,21
1760212800000,111307.39000000,111515.85000000,110817.12000000,111196.54000000,0.11401000,1760213699999,12674.63640630,21
1760213700000,111194.62000000,111194.62000000,110500.03000000,110500.03000000,0.18832000,1760214599999,20872.16132490,20
1760214600000,110500.02000000,110774.55000000,110324.74000000,110324.76000000,0.01796000,1760215499999,1983.59841110,17
1760215500000,110816.18000000,110816.18000000,109703.56000000,110296.19000000,1.02077000,1760216399999,112343.98680890,73
1760216400000,110296.18000000,110296.18000000,109597.65000000,109599.15000000,0.18419000,1760217299999,20198.66571350,57
1760217300000,109599.61000000,110750.32000000,109599.61000000,110750.32000000,0.46256000,1760218199999,50803.75478900,57
1760218200000,110750.33000000,110941.07000000,110407.27000000,110444.76000000,0.07796000,1760219099999,8636.90589570,19
1760219100000,110445.07000000,110950.82000000,110445.07000000,110600.60000000,0.22852000,1760219999999,25274.37254210,19
1760220000000,110604.50000000,111111.06000000,110604.50000000,111053.01000000,0.58378000,1760220899999,64672.42292350,25
1760220900000,110800.01000000,111050.17000000,110627.37000000,111050.17000000,0.98248000,1760221799999,109028.94248430,9
1760221800000,111053.34000000,111222.00000000,110831.76000000,110855.66000000,0.01125000,1760222699999,1249.66726910,10
1760222700000,110856.35000000,111264.63000000,110817.37000000,110817.37000000,0.57073000,1760223599999,63404.28491120,11
1760223600000,110817.56000000,110817.71000000,110817.56000000,110817.71000000,0.01420000,1760224499999,1573.60937570,4
1760224500000,110817.86000000,110817.86000000,110817.54000000,110817.54000000,0.00035000,1760225399999,38.78624140,2
